<<<<<<< HEAD
Google,9.219000,218.321000,4767.240000
Cloudflare,8.051000,245.464000,4544.993000
Quad9,11.471000,341.921000,3977.985000
BlahDNSJapan,273.956000,983.868000,3455.153000
CleanBrowsing,19.797000,378.346000,3706.200000
BlahDNSGermany,25.913000,445.772000,2328.546000
=======
CleanBrowsing,26.869000,89.355000,2024.138000
BlahDNSGermany,38.598000,332.754000,2558.482000
Cloudflare,5.798000,407.138000,4994.311000
Google,6.109000,286.399000,4651.271000
>>>>>>> 748abda2665e624d41c8041d7a3835816f5146f3
