<<<<<<< HEAD
Google,8.525000,104.403000,4064.062000
Cloudflare,7.333000,105.425000,4029.290000
Quad9,16.405000,317.973000,4295.811000
BlahDNSJapan,272.674000,886.699000,2203.812000
CleanBrowsing,19.184000,189.720000,3400.729000
BlahDNSGermany,26.470000,211.678000,1046.820000
=======
CleanBrowsing,28.481000,61.302000,1914.228000
BlahDNSGermany,41.038000,178.283000,1094.398000
Cloudflare,5.871000,248.232000,4963.282000
Google,6.287000,123.483000,4349.118000
>>>>>>> 748abda2665e624d41c8041d7a3835816f5146f3
