<<<<<<< HEAD
Google,10.886000,93.946000,4516.509000
Cloudflare,7.430000,90.152000,4013.691000
Quad9,10.699000,155.188000,3532.515000
BlahDNSJapan,269.002000,661.697000,2656.729000
CleanBrowsing,19.067000,180.221000,4700.052000
BlahDNSGermany,26.491000,160.925000,1002.210000
=======
CleanBrowsing,28.516000,70.016000,3503.471000
BlahDNSGermany,38.672000,105.307000,1080.087000
Cloudflare,6.029000,175.888000,4249.359000
Google,6.537000,117.464000,4076.112000
>>>>>>> 748abda2665e624d41c8041d7a3835816f5146f3
