com
CleanBrowsing,1.648000,129.961000,3584.476000, ,4,16.67,44, ,203.538,431.941,846.694, ,18.57,23.37,34.64, 
BlahDNSGermany,9.367000,183.650000,1655.453000, ,1,24.83,113, ,32.4905,187.161,364.306, ,20.55,25.14,39.11, 
Cloudflare,.924000,32.557000,4201.723000, ,1,9.14,26, ,1.46208,43.4909,112.025, ,23.1,28.8,43.5, 
Google,.451000,81.549000,4162.089000, ,40,76.83,157, ,4.82594,34.418,102.601, ,18.33,22.46,34.24, 
net
CleanBrowsing,1.892000,145.092000,4850.902000, ,0,23.62,92, ,236.24,236.247,236.255, ,18.38,23.45,34.61, 
BlahDNSGermany,9.300000,178.396000,2880.994000, ,0,33.92,169, ,40.3447,162.258,572.937, ,20.49,25.17,39.05, 
Cloudflare,.726000,130.296000,4729.963000, ,1,55.67,312, ,1.469,32.7771,296.823, ,23.21,29.64,47.22, 
Google,.235000,73.910000,2333.427000, ,9,100.75,339, ,5.16701,60.7702,312.649, ,18.42,22.91,34.37, 
au
CleanBrowsing,2.622000,386.857000,4868.994000, ,0,104.0,585, ,0,0,0, ,18.64,23.43,35.71, 
BlahDNSGermany,9.398000,419.910000,2018.521000, ,0,2.33,10, ,49.9835,373.783,722.929, ,20.73,25.6,39.29, 
Cloudflare,.956000,328.939000,4723.039000, ,1,1.67,4, ,1.76137,192.425,853.022, ,22.96,29.39,51.94, 
Google,.423000,175.631000,3430.090000, ,10,107.17,384, ,5.83019,192.548,586.305, ,18.54,22.99,35.52, 
nl
CleanBrowsing,1.578000,205.495000,3493.350000, ,0,23.65,2034, ,144.083,381.958,665.577, ,18.27,23.16,34.41, 
BlahDNSGermany,9.449000,76.623000,1245.038000, ,0,6.31,216, ,10.9273,10.9503,10.959, ,20.62,24.47,38.78, 
Cloudflare,.841000,57.646000,4297.398000, ,1,10.39,1606, ,1.91184,41.8179,374.71, ,23.1,28.81,43.29, 
Google,.407000,30.345000,4016.675000, ,9,78.79,636, ,4.73099,18.7933,51.3896, ,18.25,22.65,34.35, 
ca
CleanBrowsing,1.110000,166.107000,3546.399000, ,4,34.0,147, ,359.72,680.022,904.131, ,18.5,23.65,36.15, 
BlahDNSGermany,9.439000,193.852000,950.463000, ,0,1.67,4, ,54.2347,223.618,479.741, ,20.58,25.71,39.34, 
Cloudflare,.830000,170.555000,4936.604000, ,1,11.36,75, ,1.61954,35.1053,102.369, ,23.14,29.16,43.27, 
Google,.414000,74.751000,4028.130000, ,22,67.56,111, ,5.17849,93.6297,363.868, ,18.34,22.67,34.22, 
