com
CleanBrowsing,28.516000,70.016000,3503.471000, ,36,78.5,166, ,222.783,250.419,278.054, ,10.92,11.09,16.71, 
BlahDNSGermany,38.672000,105.307000,1080.087000, ,9,98.33,324, ,74.8349,213.214,335.869, ,12.51,12.67,13.62, 
Cloudflare,6.029000,175.888000,4249.359000, ,36,66.29,158, ,7.82082,109.919,469.192, ,13.57,13.81,16.04, 
Google,6.537000,117.464000,4076.112000, ,66,96.83,170, ,37.1057,86.8242,165.074, ,11.02,11.27,12.23, 
net
CleanBrowsing,24.970000,48.457000,3030.853000, ,25,71.85,270, ,107.095,107.116,107.131, ,10.89,11.09,12.21, 
BlahDNSGermany,38.073000,194.652000,1351.845000, ,21,112.31,200, ,94.9097,223.567,498.079, ,12.52,12.67,13.69, 
Cloudflare,5.681000,201.044000,4833.112000, ,27,192.13,2022, ,6.47714,36.794,165.765, ,13.59,13.81,15.23, 
Google,5.852000,125.138000,4364.124000, ,32,133.18,361, ,25.4436,72.0897,335.853, ,11.01,11.27,12.23, 
au
CleanBrowsing,26.869000,89.355000,2024.138000, ,24,33.5,53, ,0,0,0, ,10.95,11.12,12.41, 
BlahDNSGermany,38.598000,332.754000,2558.482000, ,17,295.33,602, ,461.278,597.192,680.757, ,12.52,12.72,13.71, 
Cloudflare,5.798000,407.138000,4994.311000, ,28,97.67,322, ,8.13338,197.341,683.454, ,13.57,13.83,14.85, 
Google,6.109000,286.399000,4651.271000, ,36,166.17,626, ,24.9477,268.827,634.169, ,11.07,11.3,12.57, 
nl
CleanBrowsing,38.213000,60.163000,4095.972000, ,6,83.86,1070, ,204.599,407.141,717.397, ,10.92,11.08,16.82, 
BlahDNSGermany,39.646000,84.964000,498.428000, ,8,95.45,1974, ,79.6088,118.286,211.192, ,12.51,12.68,13.91, 
Cloudflare,5.846000,182.420000,4264.956000, ,26,103.95,3228, ,8.05771,78.1505,260.067, ,13.56,13.81,19.71, 
Google,5.630000,76.479000,2107.036000, ,32,106.03,859, ,50.5882,65.8699,120.436, ,11.04,11.27,14.94, 
ca
CleanBrowsing,28.481000,61.302000,1914.228000, ,25,57.78,95, ,425.857,559.347,703.617, ,10.91,11.1,17.09, 
BlahDNSGermany,41.038000,178.283000,1094.398000, ,15,53.44,119, ,84.6728,273.951,522.001, ,12.52,12.7,16.83, 
Cloudflare,5.871000,248.232000,4963.282000, ,31,64.43,205, ,8.29738,66.4781,196.758, ,13.51,13.82,15.01, 
Google,6.287000,123.483000,4349.118000, ,42,92.67,157, ,32.4986,99.0576,295.124, ,11.05,11.27,13.37, 
