com
CleanBrowsing,26.557000,172.898000,4721.991000, ,23,120.83,326, ,354.848,393.089,431.331, ,15.81,20.56,42.73, 
BlahDNSGermany,28.398000,205.707000,1932.114000, ,8,85.5,304, ,64.1946,261.517,470.275, ,17.36,21.37,39.51, 
Cloudflare,5.424000,165.597000,4233.154000, ,40,86.86,278, ,6.83666,73.6044,199.592, ,21.08,34.35,55.83, 
Google,5.428000,165.978000,4345.720000, ,53,91.5,172, ,25.2427,199.388,824.168, ,16.7,26.15,39.03, 
net
CleanBrowsing,25.873000,148.035000,3138.237000, ,23,105.92,491, ,287.211,507.268,695.164, ,16.05,20.5,35.76, 
BlahDNSGermany,28.473000,213.462000,2981.173000, ,5,77.23,263, ,67.3398,207.996,706.184, ,17.32,21.95,40.62, 
Cloudflare,5.474000,191.481000,4423.068000, ,40,114.73,373, ,6.28631,28.2384,112.835, ,21.07,34.21,50.95, 
Google,5.258000,172.567000,4308.881000, ,29,116.0,351, ,24.4243,152.01,356.27, ,16.44,26.6,41.93, 
au
CleanBrowsing,26.605000,400.812000,3684.260000, ,23,29.83,64, ,0,0,0, ,16.29,20.76,34.91, 
BlahDNSGermany,28.431000,447.433000,2409.196000, ,5,177.67,462, ,71.6612,447.873,786.118, ,17.44,22.27,40.59, 
Cloudflare,5.631000,414.655000,4932.592000, ,32,238.33,1010, ,6.63494,155.164,674.612, ,20.69,33.46,59.13, 
Google,5.721000,306.382000,3571.558000, ,32,168.5,622, ,23.9065,241.009,772.907, ,16.53,26.63,42.22, 
nl
CleanBrowsing,25.728000,126.359000,3136.286000, ,2,273.64,40558, ,105.803,174.025,327.765, ,16.05,20.71,35.21, 
BlahDNSGermany,28.424000,115.372000,945.702000, ,2,239.64,40558, ,77.7309,119.961,327.541, ,17.41,21.94,41.35, 
Cloudflare,5.549000,87.199000,4320.345000, ,2,250.46,40558, ,6.81039,71.0875,381.141, ,20.51,33.61,46.28, 
Google,5.003000,112.294000,4071.198000, ,2,239.68,40558, ,43.4666,99.37,191.641, ,16.13,26.36,39.58, 
ca
CleanBrowsing,25.832000,153.026000,3046.540000, ,23,82.89,213, ,393.691,451.726,472.679, ,16.11,20.66,36.37, 
BlahDNSGermany,28.347000,228.379000,1063.915000, ,10,41.89,99, ,72.907,226.919,410.056, ,17.33,22.12,40.11, 
Cloudflare,5.455000,204.561000,4520.417000, ,25,57.14,215, ,7.3354,77.3555,172.415, ,21.02,34.29,52.42, 
Google,5.291000,186.016000,4056.028000, ,38,85.89,117, ,23.9675,145.153,410.367, ,16.6,26.35,44.99, 
