com
Google,8.598000,91.073000,1687.368000, ,26.0,96.0,380.0, ,75.8907,148.834,403.711, ,4.24,5.43,32.16, 
Cloudflare,10.372000,100.490000,4014.420000, ,18.0,71.0,247.0, ,67.6942,135.24,365.733, ,5.34,6.22,9.62, 
CleanBrowsing,19.498000,173.935000,4686.835000, ,27.0,80.0,291.0, ,364.548,390.536,416.523, ,0,0,0, 
BlahDNSGermany,23.773000,237.447000,2189.969000, ,32.0,81.0,170.0, ,210.782,226.718,302.346, ,0,0,0, 
net
Google,9.289000,110.755000,4060.984000, ,16.0,74.0,323.0, ,29.5068,70.6745,335.935, ,4.65,5.57,6.88, 
Cloudflare,9.483000,124.355000,4338.616000, ,12.0,68.0,203.0, ,65.115,69.1329,84.025, ,5.38,6.26,23.96, 
CleanBrowsing,17.912000,155.701000,3471.351000, ,30.0,94.0,405.0, ,578.136,676.706,808.879, ,0,0,0, 
BlahDNSGermany,23.641000,210.030000,2847.916000, ,27.0,40.0,70.0, ,161.991,229.109,377.375, ,0,0,0, 
au
Google,8.732000,233.746000,2716.703000, ,15.0,45.0,162.0, ,41.3683,235.405,615.712, ,4.21,5.16,7.51, 
Cloudflare,9.724000,301.304000,4709.898000, ,13.0,70.0,322.0, ,70.4843,244.362,921.096, ,5.41,6.33,17.44, 
CleanBrowsing,19.305000,350.915000,3750.658000, ,23.0,218.0,1004.0, ,0,0,0, ,0,0,0, 
BlahDNSGermany,23.521000,465.989000,2389.697000, ,26.0,33.0,51.0, ,429.146,489.899,688.992, ,0,0,0, 
nl
Google,5.640000,41.113000,2051.140000, ,11.0,37.0,1058.0, ,41.997,69.4111,265.804, ,4.27,5.21,11.9, 
Cloudflare,11.101000,55.780000,4235.878000, ,12.0,25.0,573.0, ,62.5596,101.978,395.64, ,5.48,6.25,14.51, 
CleanBrowsing,21.089000,95.790000,3090.553000, ,20.0,93.0,1712.0, ,166.289,286.142,561.151, ,0,0,0, 
BlahDNSGermany,23.823000,123.395000,903.701000, ,26.0,49.0,335.0, ,143.378,230.452,503.976, ,0,0,0, 
ca
Google,8.759000,117.479000,2454.215000, ,16.0,52.0,245.0, ,77.6811,128.505,371.509, ,0,0,0, 
Cloudflare,10.657000,165.497000,4701.775000, ,13.0,36.0,91.0, ,69.3501,103.302,169.254, ,0,0,0, 
CleanBrowsing,18.481000,181.016000,3253.167000, ,20.0,69.0,262.0, ,343.047,589.698,827.294, ,0,0,0, 
BlahDNSGermany,23.540000,258.353000,2081.069000, ,27.0,49.0,94.0, ,296.893,476.903,701.715, ,0,0,0, 
