Google https://dns.google.com/experimental,10.89,11.09,12.21,0.96
Cloudflare https://cloudflare-dns.com/dns-query,12.52,12.67,13.69,0.96
CleanBrowsing https://doh.cleanbrowsing.org/doh/family-filter/,13.59,13.81,15.23,0.95
blahdns.com_Germany: https://doh-de.blahdns.com/dns-query,11.01,11.27,12.23,0.94
